country,year,sex,age,suicides_no,suicides/100k pop,generation
Albania,2004,female,35-54 years,17,4.34,Boomers
Albania,2004,female,55-74 years,3,1.47,Silent
Albania,2004,female,5-14 years,3,1.05,Millenials
Albania,2004,male,5-14 years,1,0.33,Millenials
Albania,2005,female,15-24 years,0,0.0,Millenials
Albania,2005,female,25-34 years,0,0.0,Generation X
Albania,2005,female,35-54 years,0,0.0,Boomers
Albania,2005,female,5-14 years,0,0.0,Millenials
Albania,2005,female,55-74 years,0,0.0,Silent
Albania,2005,female,75+ years,0,0.0,Silent
Albania,2005,male,15-24 years,0,0.0,Millenials
Albania,2005,male,25-34 years,0,0.0,Generation X
Albania,2005,male,35-54 years,0,0.0,Boomers
Albania,2005,male,5-14 years,0,0.0,Millenials
Albania,2005,male,55-74 years,0,0.0,Silent
Albania,2005,male,75+ years,0,0.0,Silent
Albania,2006,female,15-24 years,0,0.0,Millenials
Albania,2006,female,25-34 years,0,0.0,Generation X
Albania,2006,female,35-54 years,0,0.0,Boomers
Albania,2006,female,5-14 years,0,0.0,Millenials
Albania,2006,female,55-74 years,0,0.0,Silent
Albania,2006,female,75+ years,0,0.0,Silent
Albania,2006,male,15-24 years,0,0.0,Millenials
Albania,2006,male,25-34 years,0,0.0,Generation X
Albania,2006,male,35-54 years,0,0.0,Boomers
Albania,2006,male,5-14 years,0,0.0,Millenials
Albania,2006,male,55-74 years,0,0.0,Silent
Albania,2006,male,75+ years,0,0.0,Silent
Albania,2007,male,75+ years,8,18.88,Silent
Albania,2007,male,35-54 years,29,7.66,Boomers
Albania,2007,male,55-74 years,14,6.25,Silent
Albania,2007,female,75+ years,3,5.23,Silent
Albania,2007,male,25-34 years,9,5.22,Generation X
Albania,2007,female,15-24 years,13,4.63,Millenials
Albania,2007,male,15-24 years,13,4.51,Millenials
Albania,2007,female,25-34 years,8,4.36,Generation X
Albania,2007,female,55-74 years,9,4.07,Silent
Albania,2007,female,35-54 years,14,3.57,Boomers
Albania,2007,male,5-14 years,4,1.47,Generation Z
Albania,2007,female,5-14 years,0,0.0,Generation Z
Albania,2008,male,25-34 years,21,12.15,Generation X
Albania,2008,male,35-54 years,37,9.81,Boomers
Albania,2008,male,55-74 years,21,9.18,Silent
Albania,2008,female,75+ years,5,8.42,Silent
Albania,2008,female,15-24 years,20,7.24,Millenials
Albania,2008,female,25-34 years,9,4.93,Generation X
Albania,2008,female,35-54 years,19,4.82,Boomers
Albania,2008,male,75+ years,2,4.49,Silent
Albania,2008,male,15-24 years,11,3.84,Millenials
Albania,2008,female,55-74 years,7,3.09,Silent
Albania,2008,male,5-14 years,7,2.67,Generation Z
Albania,2008,female,5-14 years,1,0.41,Generation Z
Albania,2009,female,15-24 years,0,0.0,Millenials
Albania,2009,female,25-34 years,0,0.0,Generation X
Albania,2009,female,35-54 years,0,0.0,Boomers
Albania,2009,female,5-14 years,0,0.0,Generation Z
Albania,2009,female,55-74 years,0,0.0,Silent
Albania,2009,female,75+ years,0,0.0,Silent
Albania,2009,male,15-24 years,0,0.0,Millenials
Albania,2009,male,25-34 years,0,0.0,Generation X
Albania,2009,male,35-54 years,0,0.0,Boomers
Albania,2009,male,5-14 years,0,0.0,Generation Z
Albania,2009,male,55-74 years,0,0.0,Silent
Albania,2009,male,75+ years,0,0.0,Silent
Albania,2010,male,55-74 years,20,8.27,Silent
Albania,2010,male,35-54 years,20,5.38,Generation X
Albania,2010,male,25-34 years,9,5.01,Generation X
Albania,2010,male,75+ years,2,3.94,Silent
Albania,2010,male,15-24 years,10,3.58,Millenials
Albania,2010,female,25-34 years,6,3.27,Generation X
Albania,2010,female,75+ years,2,3.1,Silent
Albania,2010,female,35-54 years,12,3.04,Generation X
Albania,2010,female,55-74 years,7,2.9,Silent
Albania,2010,female,15-24 years,6,2.28,Millenials
Albania,2010,female,5-14 years,2,0.89,Generation Z
Albania,2010,male,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2000,male,55-74 years,1,30.0,Silent
Antigua and Barbuda,2000,male,35-54 years,1,9.97,Boomers
Antigua and Barbuda,2000,female,15-24 years,0,0.0,Generation X
Antigua and Barbuda,2000,female,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2000,female,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2000,female,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2000,female,55-74 years,0,0.0,Silent
Antigua and Barbuda,2000,female,75+ years,0,0.0,G.I. Generation
Antigua and Barbuda,2000,male,15-24 years,0,0.0,Generation X
Antigua and Barbuda,2000,male,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2000,male,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2000,male,75+ years,0,0.0,G.I. Generation
Antigua and Barbuda,2001,male,35-54 years,2,19.45,Boomers
Antigua and Barbuda,2001,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2001,female,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2001,female,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2001,female,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2001,female,55-74 years,0,0.0,Silent
Antigua and Barbuda,2001,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2001,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2001,male,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2001,male,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2001,male,55-74 years,0,0.0,Silent
Antigua and Barbuda,2001,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2002,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2002,female,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2002,female,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2002,female,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2002,female,55-74 years,0,0.0,Silent
Antigua and Barbuda,2002,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2002,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2002,male,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2002,male,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2002,male,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2002,male,55-74 years,0,0.0,Silent
Antigua and Barbuda,2002,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2003,male,55-74 years,1,27.82,Silent
Antigua and Barbuda,2003,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2003,female,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2003,female,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2003,female,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2003,female,55-74 years,0,0.0,Silent
Antigua and Barbuda,2003,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2003,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2003,male,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2003,male,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2003,male,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2003,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2004,male,55-74 years,1,27.29,Silent
Antigua and Barbuda,2004,male,35-54 years,1,8.77,Boomers
Antigua and Barbuda,2004,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2004,female,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2004,female,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2004,female,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2004,female,55-74 years,0,0.0,Silent
Antigua and Barbuda,2004,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2004,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2004,male,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2004,male,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2004,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2005,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2005,female,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2005,female,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2005,female,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2005,female,55-74 years,0,0.0,Silent
Antigua and Barbuda,2005,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2005,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2005,male,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2005,male,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2005,male,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2005,male,55-74 years,0,0.0,Silent
Antigua and Barbuda,2005,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2006,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2006,female,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2006,female,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2006,female,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2006,female,55-74 years,0,0.0,Silent
Antigua and Barbuda,2006,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2006,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2006,male,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2006,male,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2006,male,5-14 years,0,0.0,Millenials
Antigua and Barbuda,2006,male,55-74 years,0,0.0,Silent
Antigua and Barbuda,2006,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2007,male,35-54 years,1,7.98,Boomers
Antigua and Barbuda,2007,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2007,female,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2007,female,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2007,female,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2007,female,55-74 years,0,0.0,Silent
Antigua and Barbuda,2007,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2007,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2007,male,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2007,male,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2007,male,55-74 years,0,0.0,Silent
Antigua and Barbuda,2007,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2008,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2008,female,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2008,female,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2008,female,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2008,female,55-74 years,0,0.0,Silent
Antigua and Barbuda,2008,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2008,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2008,male,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2008,male,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2008,male,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2008,male,55-74 years,0,0.0,Silent
Antigua and Barbuda,2008,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2009,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2009,female,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2009,female,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2009,female,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2009,female,55-74 years,0,0.0,Silent
Antigua and Barbuda,2009,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2009,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2009,male,25-34 years,0,0.0,Generation X
Antigua and Barbuda,2009,male,35-54 years,0,0.0,Boomers
Antigua and Barbuda,2009,male,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2009,male,55-74 years,0,0.0,Silent
Antigua and Barbuda,2009,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2012,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2012,female,25-34 years,0,0.0,Millenials
Antigua and Barbuda,2012,female,35-54 years,0,0.0,Generation X
Antigua and Barbuda,2012,female,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2012,female,55-74 years,0,0.0,Boomers
Antigua and Barbuda,2012,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2012,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2012,male,25-34 years,0,0.0,Millenials
Antigua and Barbuda,2012,male,35-54 years,0,0.0,Generation X
Antigua and Barbuda,2012,male,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2012,male,55-74 years,0,0.0,Boomers
Antigua and Barbuda,2012,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2013,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2013,female,25-34 years,0,0.0,Millenials
Antigua and Barbuda,2013,female,35-54 years,0,0.0,Generation X
Antigua and Barbuda,2013,female,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2013,female,55-74 years,0,0.0,Boomers
Antigua and Barbuda,2013,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2013,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2013,male,25-34 years,0,0.0,Millenials
Antigua and Barbuda,2013,male,35-54 years,0,0.0,Generation X
Antigua and Barbuda,2013,male,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2013,male,55-74 years,0,0.0,Boomers
Antigua and Barbuda,2013,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2014,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2014,female,25-34 years,0,0.0,Millenials
Antigua and Barbuda,2014,female,35-54 years,0,0.0,Generation X
Antigua and Barbuda,2014,female,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2014,female,55-74 years,0,0.0,Boomers
Antigua and Barbuda,2014,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2014,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2014,male,25-34 years,0,0.0,Millenials
Antigua and Barbuda,2014,male,35-54 years,0,0.0,Generation X
Antigua and Barbuda,2014,male,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2014,male,55-74 years,0,0.0,Boomers
Antigua and Barbuda,2014,male,75+ years,0,0.0,Silent
Antigua and Barbuda,2015,female,55-74 years,1,15.62,Boomers
Antigua and Barbuda,2015,female,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2015,female,25-34 years,0,0.0,Millenials
Antigua and Barbuda,2015,female,35-54 years,0,0.0,Generation X
Antigua and Barbuda,2015,female,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2015,female,75+ years,0,0.0,Silent
Antigua and Barbuda,2015,male,15-24 years,0,0.0,Millenials
Antigua and Barbuda,2015,male,25-34 years,0,0.0,Millenials
Antigua and Barbuda,2015,male,35-54 years,0,0.0,Generation X
Antigua and Barbuda,2015,male,5-14 years,0,0.0,Generation Z
Antigua and Barbuda,2015,male,55-74 years,0,0.0,Boomers
Antigua and Barbuda,2015,male,75+ years,0,0.0,Silent
Argentina,2000,male,75+ years,232,44.18,G.I. Generation
Argentina,2000,male,55-74 years,602,25.8,Silent
Argentina,2000,male,35-54 years,578,14.11,Boomers
Argentina,2000,male,15-24 years,463,14.0,Generation X
Argentina,2000,male,25-34 years,331,12.72,Generation X
Argentina,2000,female,55-74 years,133,4.82,Silent
Argentina,2000,female,75+ years,43,4.56,G.I. Generation
Argentina,2000,female,35-54 years,174,4.09,Boomers
Argentina,2000,female,15-24 years,116,3.57,Generation X
Argentina,2000,female,25-34 years,63,2.41,Generation X
Argentina,2000,female,5-14 years,21,0.62,Millenials
Argentina,2000,male,5-14 years,18,0.51,Millenials
Argentina,2001,male,75+ years,250,45.66,Silent
Argentina,2001,male,55-74 years,659,27.94,Silent
Argentina,2001,male,15-24 years,518,15.58,Millenials
Argentina,2001,male,35-54 years,625,15.08,Boomers
Argentina,2001,male,25-34 years,375,14.02,Generation X
Argentina,2001,female,75+ years,57,5.83,Silent
Argentina,2001,female,15-24 years,166,5.09,Millenials
Argentina,2001,female,55-74 years,137,4.91,Silent
Argentina,2001,female,35-54 years,210,4.88,Boomers
Argentina,2001,female,25-34 years,82,3.05,Generation X
Argentina,2001,male,5-14 years,29,0.82,Millenials
Argentina,2001,female,5-14 years,24,0.7,Millenials
Argentina,2002,male,75+ years,234,41.31,Silent
Argentina,2002,male,55-74 years,615,25.76,Silent
Argentina,2002,male,15-24 years,542,16.27,Millenials
Argentina,2002,male,25-34 years,412,14.94,Generation X
Argentina,2002,male,35-54 years,619,14.77,Boomers
Argentina,2002,female,55-74 years,179,6.35,Silent
Argentina,2002,female,75+ years,58,5.73,Silent
Argentina,2002,female,15-24 years,158,4.84,Millenials
Argentina,2002,female,35-54 years,194,4.45,Boomers
Argentina,2002,female,25-34 years,91,3.28,Generation X
Argentina,2002,male,5-14 years,37,1.05,Millenials
Argentina,2002,female,5-14 years,23,0.67,Millenials
Argentina,2003,male,75+ years,272,46.75,Silent
Argentina,2003,male,55-74 years,577,23.83,Silent
Argentina,2003,male,15-24 years,638,19.15,Millenials
Argentina,2003,male,25-34 years,456,16.02,Generation X
Argentina,2003,male,35-54 years,625,14.75,Boomers
Argentina,2003,female,75+ years,68,6.51,Silent
Argentina,2003,female,15-24 years,179,5.49,Millenials
Argentina,2003,female,55-74 years,147,5.15,Silent
Argentina,2003,female,35-54 years,196,4.45,Boomers
Argentina,2003,female,25-34 years,69,2.41,Generation X
Argentina,2003,male,5-14 years,37,1.05,Millenials
Argentina,2003,female,5-14 years,25,0.73,Millenials
Argentina,2004,male,75+ years,227,38.25,Silent
Argentina,2004,male,55-74 years,500,20.33,Silent
Argentina,2004,male,15-24 years,653,19.59,Millenials
Argentina,2004,male,25-34 years,445,15.19,Generation X
Argentina,2004,male,35-54 years,599,13.98,Boomers
Argentina,2004,female,15-24 years,159,4.88,Millenials
Argentina,2004,female,55-74 years,136,4.7,Silent
Argentina,2004,female,75+ years,50,4.66,Silent
Argentina,2004,female,35-54 years,185,4.16,Boomers
Argentina,2004,female,25-34 years,99,3.37,Generation X
Argentina,2004,male,5-14 years,43,1.22,Millenials
Argentina,2004,female,5-14 years,25,0.73,Millenials
Argentina,2005,male,75+ years,225,37.43,Silent
Argentina,2005,male,55-74 years,489,19.52,Silent
Argentina,2005,male,15-24 years,638,19.08,Millenials
Argentina,2005,male,25-34 years,451,15.01,Generation X
Argentina,2005,male,35-54 years,539,12.43,Boomers
Argentina,2005,female,55-74 years,161,5.47,Silent
Argentina,2005,female,75+ years,59,5.36,Silent
Argentina,2005,female,15-24 years,148,4.54,Millenials
Argentina,2005,female,35-54 years,171,3.8,Boomers
Argentina,2005,female,25-34 years,104,3.45,Generation X
Argentina,2005,male,5-14 years,52,1.47,Millenials
Argentina,2005,female,5-14 years,21,0.62,Millenials
Argentina,2006,male,75+ years,246,39.68,Silent
Argentina,2006,male,15-24 years,656,19.54,Millenials
Argentina,2006,male,55-74 years,487,19.17,Silent
Argentina,2006,male,25-34 years,483,15.74,Generation X
Argentina,2006,male,35-54 years,585,13.34,Boomers
Argentina,2006,female,15-24 years,175,5.35,Millenials
Argentina,2006,female,55-74 years,115,3.85,Silent
Argentina,2006,female,35-54 years,160,3.52,Boomers
Argentina,2006,female,25-34 years,105,3.42,Generation X
Argentina,2006,female,75+ years,31,2.74,Silent
Argentina,2006,male,5-14 years,39,1.11,Millenials
Argentina,2006,female,5-14 years,26,0.76,Millenials
Argentina,2007,male,75+ years,225,35.43,Silent
Argentina,2007,male,15-24 years,577,17.07,Millenials
Argentina,2007,male,55-74 years,438,16.96,Silent
Argentina,2007,male,25-34 years,490,15.68,Generation X
Argentina,2007,male,35-54 years,571,12.87,Boomers
Argentina,2007,female,15-24 years,146,4.43,Millenials
Argentina,2007,female,25-34 years,126,4.04,Generation X
Argentina,2007,female,55-74 years,108,3.56,Silent
Argentina,2007,female,35-54 years,155,3.37,Boomers
Argentina,2007,female,75+ years,31,2.67,Silent
Argentina,2007,male,5-14 years,45,1.27,Generation Z
Argentina,2007,female,5-14 years,34,1.0,Generation Z
Argentina,2008,male,75+ years,208,32.19,Silent
Argentina,2008,male,15-24 years,625,18.33,Millenials
Argentina,2008,male,55-74 years,463,17.6,Silent
Argentina,2008,male,25-34 years,531,16.74,Generation X
Argentina,2008,male,35-54 years,582,12.94,Boomers
Argentina,2008,female,15-24 years,180,5.42,Millenials
Argentina,2008,female,35-54 years,173,3.71,Boomers
Argentina,2008,female,55-74 years,108,3.5,Silent
Argentina,2008,female,75+ years,36,3.03,Silent
Argentina,2008,female,25-34 years,94,2.97,Generation X
Argentina,2008,male,5-14 years,39,1.1,Generation Z
Argentina,2008,female,5-14 years,20,0.58,Generation Z
Argentina,2009,male,75+ years,177,27.09,Silent
Argentina,2009,male,15-24 years,609,17.72,Millenials
Argentina,2009,male,55-74 years,434,16.17,Silent
Argentina,2009,male,25-34 years,504,15.7,Generation X
Argentina,2009,male,35-54 years,542,11.87,Boomers
Argentina,2009,female,15-24 years,164,4.91,Millenials
Argentina,2009,female,55-74 years,112,3.56,Silent
Argentina,2009,female,25-34 years,105,3.29,Generation X
Argentina,2009,female,35-54 years,150,3.17,Boomers
Argentina,2009,female,75+ years,25,2.06,Silent
Argentina,2009,male,5-14 years,34,0.96,Generation Z
Argentina,2009,female,5-14 years,28,0.82,Generation Z
Argentina,2010,male,75+ years,206,31.35,Silent
Argentina,2010,male,15-24 years,683,19.77,Millenials
Argentina,2010,male,25-34 years,485,14.98,Generation X
Argentina,2010,male,55-74 years,397,14.49,Silent
Argentina,2010,male,35-54 years,573,12.33,Generation X
Argentina,2010,female,15-24 years,150,4.47,Millenials
Argentina,2010,female,35-54 years,162,3.37,Generation X
Argentina,2010,female,25-34 years,101,3.15,Generation X
Argentina,2010,female,55-74 years,99,3.08,Silent
Argentina,2010,female,75+ years,34,2.75,Silent
Argentina,2010,male,5-14 years,33,0.92,Generation Z
Argentina,2010,female,5-14 years,20,0.58,Generation Z
Argentina,2011,male,75+ years,178,26.38,Silent
Argentina,2011,male,15-24 years,693,19.96,Millenials
Argentina,2011,male,25-34 years,510,15.65,Millenials
Argentina,2011,male,55-74 years,416,14.92,Boomers
Argentina,2011,male,35-54 years,504,10.64,Generation X
Argentina,2011,female,15-24 years,172,5.1,Millenials
Argentina,2011,female,35-54 years,157,3.21,Generation X
Argentina,2011,female,25-34 years,102,3.16,Millenials
Argentina,2011,female,55-74 years,93,2.85,Boomers
Argentina,2011,female,75+ years,30,2.38,Silent
Argentina,2011,female,5-14 years,29,0.84,Generation Z
Argentina,2011,male,5-14 years,28,0.78,Generation Z
Argentina,2012,male,75+ years,225,32.68,Silent
Argentina,2012,male,15-24 years,745,21.4,Millenials
Argentina,2012,male,25-34 years,616,18.85,Millenials
Argentina,2012,male,55-74 years,451,15.88,Boomers
Argentina,2012,male,35-54 years,554,11.44,Generation X
Argentina,2012,female,15-24 years,204,6.03,Millenials
Argentina,2012,female,35-54 years,164,3.28,Generation X
Argentina,2012,female,55-74 years,108,3.24,Boomers
Argentina,2012,female,25-34 years,102,3.16,Millenials
Argentina,2012,female,75+ years,33,2.57,Silent
Argentina,2012,male,5-14 years,29,0.8,Generation Z
Argentina,2012,female,5-14 years,17,0.49,Generation Z
Argentina,2013,male,75+ years,168,24.03,Silent
Argentina,2013,male,15-24 years,696,19.96,Millenials
Argentina,2013,male,25-34 years,499,15.25,Millenials
Argentina,2013,male,55-74 years,398,13.75,Boomers
Argentina,2013,male,35-54 years,604,12.2,Generation X
Argentina,2013,female,15-24 years,167,4.93,Millenials
Argentina,2013,female,25-34 years,102,3.16,Millenials
Argentina,2013,female,35-54 years,157,3.08,Generation X
Argentina,2013,female,55-74 years,102,3.01,Boomers
Argentina,2013,female,75+ years,29,2.23,Silent
Argentina,2013,female,5-14 years,32,0.91,Generation Z
Argentina,2013,male,5-14 years,33,0.91,Generation Z
Argentina,2014,male,75+ years,192,27.16,Silent
Argentina,2014,male,15-24 years,738,21.13,Millenials
Argentina,2014,male,25-34 years,531,16.2,Millenials
Argentina,2014,male,55-74 years,405,13.72,Boomers
Argentina,2014,male,35-54 years,644,12.73,Generation X
Argentina,2014,female,15-24 years,204,6.02,Millenials
Argentina,2014,female,35-54 years,196,3.77,Generation X
Argentina,2014,female,25-34 years,118,3.66,Millenials
Argentina,2014,female,55-74 years,109,3.15,Boomers
Argentina,2014,female,75+ years,25,1.89,Silent
Argentina,2014,female,5-14 years,35,0.99,Generation Z
Argentina,2014,male,5-14 years,34,0.93,Generation Z
Argentina,2015,male,75+ years,245,34.38,Silent
Argentina,2015,male,15-24 years,656,18.74,Millenials
Argentina,2015,male,55-74 years,431,14.31,Boomers
Argentina,2015,male,25-34 years,465,14.13,Millenials
Argentina,2015,male,35-54 years,633,12.25,Generation X
Argentina,2015,female,15-24 years,153,4.51,Millenials
Argentina,2015,female,55-74 years,125,3.55,Boomers
Argentina,2015,female,25-34 years,114,3.52,Millenials
Argentina,2015,female,35-54 years,166,3.13,Generation X
Argentina,2015,female,75+ years,27,2.01,Silent
